[2025-12-12T17:47:28.021+0000] {log.py:232} WARNING - 2025-12-12 17:47:28.021 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:47:28.022+0000] {log.py:232} WARNING - 2025-12-12 17:47:28.022 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-18', 'return_at': '2025-10-23', 'limit': 20}
[2025-12-12T17:48:28.060+0000] {log.py:232} WARNING - 2025-12-12 17:48:28.060 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:48:28.061+0000] {log.py:232} WARNING - 2025-12-12 17:48:28.061 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-19', 'return_at': '2025-10-24', 'limit': 20}
[2025-12-12T17:49:28.027+0000] {log.py:232} WARNING - 2025-12-12 17:49:28.027 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:49:28.029+0000] {log.py:232} WARNING - 2025-12-12 17:49:28.028 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-20', 'return_at': '2025-10-25', 'limit': 20}
[2025-12-12T17:50:28.009+0000] {log.py:232} WARNING - 2025-12-12 17:50:28.009 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:50:28.011+0000] {log.py:232} WARNING - 2025-12-12 17:50:28.011 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-21', 'return_at': '2025-10-26', 'limit': 20}
[2025-12-12T17:51:28.011+0000] {log.py:232} WARNING - 2025-12-12 17:51:28.011 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:51:28.013+0000] {log.py:232} WARNING - 2025-12-12 17:51:28.013 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-22', 'return_at': '2025-10-27', 'limit': 20}
[2025-12-12T17:52:27.995+0000] {log.py:232} WARNING - 2025-12-12 17:52:27.995 | ERROR    | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:80 - Ошибка соединения: HTTPConnectionPool(host='host.docker.internal', port=8082): Read timed out. (read timeout=60)
[2025-12-12T17:52:27.996+0000] {log.py:232} WARNING - 2025-12-12 17:52:27.996 | INFO     | unusual_prefix_b78ba96595424b95bf6daf8e1589e62e45f5039b_run_aviasales_dagg:task_trigger_aviasales_prices:71 - Запрос к FastAPI: {'origin': 'MOW', 'destination': 'DXB', 'departure_at': '2025-10-23', 'return_at': '2025-10-28', 'limit': 20}
